NAME,COUNTRY,LATITUDE,LONGITUDE,ELEVATION,TYPE,POPULATION WITHIN 10KM,LARGEST YEAR,LARGEST VEI,LATEST YEAR,LATEST VEI
Makaturing,Philippines,7.647,124.32,1940,Stratovolcano,9752,1865,2,1865,2
Makian,Indonesia,0.32,127.4,1357,Stratovolcano,8466,1861,4,1988,3
Makushin,United States,53.891,-166.923,1800,Stratovolcano,0,-6100,5,1995,1
Maly Semyachik,Russia,54.135,159.674,1527,Caldera,98,1550,4,1952,2
Mammoth Mountain,United States,37.631,-119.032,3369,Lava dome(s),6242,-6540,2,-6540,2
Manam,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,2553,2004,4,2014,2
Manda Hararo,Ethiopia,12.17,40.82,600,Shield(s),857,2009,2,2009,2
Manda-Inakir,Ethiopia-Djibouti,12.38,42.2,600,Fissure vent(s),1130,1928,2,1928,2
Marapi,Indonesia,-0.381,100.473,2891,Complex,57453,2011,2,2015,1
Marchena,Ecuador,0.33,-90.47,343,Shield,785,1991,2,1991,2
Mariana Back-Arc Segment at 15.5°N,United States,15.406,144.506,-4100,Submarine,0,2013,0,2013,0
Marion Island,South Africa,-46.9,37.75,1230,Shield(s),0,2004,1,2004,1
Marra,Sudan,12.95,24.27,3042,Volcanic field,8692,-2000,4,-2000,4
Maruyama,Japan,43.453,143.036,2013,Stratovolcano(es),6,1898,2,1898,2
Masaya,Nicaragua,11.984,-86.161,635,Caldera,989888,-4050,6,2015,1
Mashu,Japan,43.572,144.561,857,Caldera,9794,-5550,6,1080,5
Matthew Island,France,-22.33,171.32,177,Stratovolcano,1,1954,2,1956,0
Maule,Chile,-36.058,-70.492,2162,Caldera,1045,-50,0,-50,0
Mauna Loa,United States,19.475,-155.608,4170,Shield,45,1868,2,1984,0
Mayon,Philippines,13.257,123.685,2462,Stratovolcano,248448,1897,4,2014,0
Mayor Island,New Zealand,-37.28,176.25,355,Shield,105,-5060,5,-5060,5
McDonald Islands,Australia,-53.03,72.6,230,Complex,0,2001,1,2005,0
Meager,Canada,50.63,-123.5,2680,Complex,111,-410,5,-410,5
Medicine Lake,United States,41.611,-121.554,2412,Shield,0,1060,3,1060,3
Meidob Volcanic Field,Sudan,15.32,26.47,2000,Pyroclastic cone(s),5140,-3000,4,-2950,0
Menengai,Kenya,-0.2,36.07,2278,Shield,204608,-6050,6,-6050,6
Merapi,Indonesia,-7.542,110.442,2968,Stratovolcano,185849,2010,4,2014,3
Merbabu,Indonesia,-7.454,110.44,3118,Stratovolcano,249747,1797,2,1797,2
Meru,Tanzania,-3.25,36.75,4565,Stratovolcano,2506,-5850,4,1910,2
Methana,Greece,37.615,23.336,760,Lava dome(s),1683,-258,3,-258,3
Metis Shoal,Tonga,-19.18,-174.87,43,Submarine,18,1995,2,1995,2
Michinmahuida,Chile,-42.799,-72.445,2452,Stratovolcano,9,-8400,6,1835,0
Michoacan-Guanajuato,Mexico,19.85,-101.75,3860,Pyroclastic cone(s),5783287,1943,4,1943,4
Midagahara,Japan,36.571,137.59,2621,Stratovolcano,521,1839,2,1839,2
Milna,Russia,46.815,151.786,1504,Stratovolcano,47,1842,3,1914,2
Milos,Greece,36.699,24.439,751,Stratovolcano(es),7389,140,1,140,1
Minami Hiyoshi,Japan,23.5,141.935,-107,Submarine,0,1975,0,1975,0
Miravalles,Costa Rica,10.748,-85.153,2028,Stratovolcano,7492,1946,1,1946,1
Misti,Peru,-16.294,-71.409,5822,Stratovolcano,1507,-80,4,1985,1
Miyakejima,Japan,34.094,139.526,775,Stratovolcano,3189,1763,4,2010,1
Mocho-Choshuenco,Chile,-39.927,-72.027,2422,Stratovolcano(es),789,1864,2,1864,2
Moekeshiwan [Lvinaya Past],Japan - administered by Russia,44.608,146.994,528,Stratovolcano,206,-7480,6,-7480,6
Momotombo,Nicaragua,12.423,-86.539,1270,Stratovolcano,1851,1605,4,2015,2
Monaco Bank,Portugal,37.6,-25.88,-197,Submarine,0,1911,1,1911,1
Mono-Inyo Craters,United States,37.804,-119.029,2796,Lava dome(s),7393,1380,4,1380,4
Monowai,New Zealand,-25.887,-177.188,-132,Submarine,0,1979,1,2012,0
Montagu Island,United Kingdom,-58.445,-26.374,1370,Shield,0,2001,1,2001,1
Moua Pihaa,France,-18.325,-148.525,-312,Submarine,0,1970,0,1970,0
Moyorodake [Medvezhia],Japan - administered by Russia,45.389,148.838,1124,Stratovolcano,42,1883,2,1999,1
Musuan,Philippines,7.877,125.068,646,Lava dome,134114,1886,2,1886,2
Mutnovsky,Russia,52.449,158.196,2288,Complex,0,1917,3,2000,1
Myojinsho,Japan,31.888,139.918,11,Submarine,0,1970,2,1970,2
Myokosan,Japan,36.891,138.114,2454,Stratovolcano,11033,-4750,5,-2750,4
Nabro,Eritrea,13.37,41.7,2218,Stratovolcano,145,2011,4,2011,4
Nakanoshima,Japan,29.859,129.857,979,Stratovolcano(es),170,1914,1,1914,1
Naruko,Japan,38.729,140.734,470,Caldera,54771,837,1,837,1
Nasudake,Japan,37.125,139.963,1915,Stratovolcano(es),5802,1410,3,1963,1
Negra,Ecuador,-0.83,-91.17,1124,Shield,408,2005,3,2005,3
Negro,Nicaragua,12.506,-86.702,728,Pyroclastic cone(s),10243,1992,3,1999,2
Nejapa-Miraflores,Nicaragua,12.12,-86.32,360,Fissure vent(s),870837,1060,3,1060,3
Nemo Peak,Russia,49.57,154.808,1018,Caldera,15,1938,2,1938,2
Newberry,United States,43.722,-121.229,2434,Shield,0,690,4,690,4
Ngozi,Tanzania,-8.989,33.554,2614,Caldera,456466,-8250,5,-8250,5
Nightingale Island,United Kingdom,-37.42,-12.48,365,Stratovolcano,0,2004,0,2004,0
Niigata-Yakeyama,Japan,36.921,138.036,2400,Lava dome,610,887,4,1998,1
Niijima,Japan,34.397,139.27,432,Lava dome(s),3349,886,4,886,4
Nikko-Shiranesan,Japan,36.799,139.376,2578,Shield,2502,1625,3,1952,2
Nila,Indonesia,-6.73,129.5,781,Stratovolcano,200,1932,2,1968,1
Nishinoshima,Japan,27.247,140.874,25,Caldera,0,2013,2,2013,2
Nisyros,Greece,36.586,27.16,698,Stratovolcano,680,1888,2,1888,2
Niuafo'ou,Tonga,-15.6,-175.63,260,Shield,155,1886,4,1985,0
Norikuradake,Japan,36.106,137.554,3026,Stratovolcano(es),1616,-50,3,-50,3
North Gorda Ridge Segment,Undersea Features,42.67,-126.78,-3000,Submarine,0,1996,0,1996,0
Northern EPR at 10.7°N,Undersea Features,10.73,-103.58,-2900,Submarine,0,2003,0,2003,0
Northern EPR at 16°N,Undersea Features,15.83,-105.43,-2300,Submarine,0,-50,0,-50,0
Northern EPR at 17°N,Undersea Features,16.55,-105.32,-2700,Submarine,0,-50,0,-50,0
Northern EPR at 9.8°N,Undersea Features,9.83,-104.3,-2500,Submarine,0,2005,0,2005,0
Novarupta,United States,58.27,-155.157,841,Caldera,0,1912,6,1912,6
Numazawa,Japan,37.444,139.566,835,Shield,4082,-3400,5,-3400,5
NW Rota-1,United States,14.601,144.775,-517,Submarine,0,2003,0,2003,0
Nyamuragira,DR Congo,-1.408,29.2,3058,Shield,27027,1996,3,2016,0
Nyiragongo,DR Congo,-1.52,29.25,3470,Stratovolcano,31145,2002,2,2002,1
Ofu-Olosega,United States,-14.175,-169.618,639,Shield(s),384,1866,2,1866,2
Okataina,New Zealand,-38.12,176.5,1111,Lava dome(s),579,1886,5,1981,1
Okmok,United States,53.43,-168.13,1073,Shield,0,-100,6,2008,4
Ontakesan,Japan,35.893,137.48,3067,Complex,2098,2014,3,2014,3
Opala,Russia,52.543,157.339,2439,Caldera,22,610,5,1776,2
Oraefajokull,Iceland,64.05,-16.633,2010,Stratovolcano,2,1362,5,1727,4
Orizaba,Mexico,19.03,-97.27,5564,Stratovolcano,4469,-6710,5,1846,2
Oshima-Oshima,Japan,41.51,139.367,732,Stratovolcano,6,1741,4,1790,2
Osorno,Chile,-41.105,-72.496,2659,Stratovolcano,674,420,4,1869,2
Pacaya,Guatemala,14.382,-90.601,2569,Complex,53579,2006,3,2016,1
Pagan,United States,18.13,145.8,570,Stratovolcano(es),0,1981,4,2012,2
Paka,Kenya,0.92,36.18,1697,Shield,4354,-7550,4,-7550,4
Paluweh,Indonesia,-8.32,121.708,875,Stratovolcano,446,1972,3,2012,2
Pantelleria,Italy,36.77,12.02,836,Shield,10985,1891,1,1891,1
Papandayan,Indonesia,-7.32,107.73,2665,Stratovolcano(es),163468,1772,3,2002,2
Parinacota,Chile-Bolivia,-18.166,-69.142,6336,Stratovolcano,123,290,4,290,4
Parker,Philippines,6.113,124.892,1824,Stratovolcano,2963,1640,5,1640,5
Pavlof,United States,55.417,-161.894,2493,Stratovolcano,0,1762,4,2016,2
Payun Matru,Argentina,-36.422,-69.241,3715,Shield,0,-5050,0,-5050,0
Pelee,France,14.809,-61.165,1394,Stratovolcano,5025,1902,4,1929,3
Perbakti-Gagak,Indonesia,-6.75,106.7,1699,Stratovolcano(es),28784,1939,1,1939,1
Peuet Sague,Indonesia,4.914,96.329,2801,Complex,144,2000,2,2000,2
Pico,Portugal,38.47,-28.4,2351,Stratovolcano,5944,1720,2,1720,2
Pico Fracture Zone,Undersea Features,38.75,-38.08,-4200,Submarine,0,1865,0,1865,0
Picos Volcanic System,Portugal,37.78,-25.67,350,Pyroclastic cone(s),115732,1652,2,1652,2
Pilas,Nicaragua,12.495,-86.688,1088,Complex,8324,1954,2,1954,2
Pinatubo,Philippines,15.13,120.35,1486,Stratovolcano,3808,1991,6,1993,1
Planchon-Peteroa,Chile,-35.223,-70.568,3977,Stratovolcano(es),48,1762,4,2011,3
Poas,Costa Rica,10.2,-84.233,2708,Stratovolcano,11107,1994,2,2016,1
Popocatepetl,Mexico,19.023,-98.622,5426,Stratovolcano(es),2584,-3700,5,2005,2
Prestahnukur,Iceland,64.583,-20.666,1385,Subglacial,60,-3350,0,-3350,0
Prevo Peak,Russia,47.02,152.12,1360,Stratovolcano,6,1765,3,1825,2
Protector Seamounts,United Kingdom,-55.912,-28.167,-55,Submarine,0,1962,0,1962,0
Pululagua,Ecuador,0.038,-78.463,3356,Caldera,534403,-690,5,-450,4
Purace,Colombia,2.32,-76.4,4650,Stratovolcano(es),7152,1885,3,1977,2
Puyehue-Cordon Caulle,Chile,-40.59,-72.117,2236,Stratovolcano,783,2011,5,2011,5
Qualibou,Saint Lucia,13.83,-61.05,777,Caldera,87921,1766,1,1766,1
Quetrupillan,Chile,-39.5,-71.7,2360,Stratovolcano,518,1872,2,1872,2
Quill,Netherlands,17.478,-62.96,601,Stratovolcano,2195,-6140,4,-6140,4
Quilotoa,Ecuador,-0.85,-78.9,3914,Caldera,40429,1280,6,1280,6
Rabaul,Papua New Guinea,-4.271,152.203,688,Pyroclastic shield,43531,683,6,2014,3
Ragang,Philippines,7.7,124.5,2815,Stratovolcano,2646,1873,2,1873,2
Rahat,Saudi Arabia,23.08,39.78,1744,Volcanic field,1010115,1256,3,1256,3
Raikoke,Russia,48.292,153.25,551,Stratovolcano,0,1924,4,1924,4
Rainier,United States,46.853,-121.76,4392,Stratovolcano,128,-250,4,1894,1
Ranakah,Indonesia,-8.62,120.52,2350,Lava dome(s),63314,1987,3,1991,1
Raoul Island,New Zealand,-29.27,-177.92,516,Stratovolcano,0,-250,6,2006,1
Rasshua,Russia,47.77,153.02,956,Stratovolcano,9,1846,3,1957,1
Raung,Indonesia,-8.119,114.056,3260,Stratovolcano,572,1593,5,2015,3
Rausudake,Japan,44.076,145.122,1660,Stratovolcano,4623,550,4,1800,3
Raususan [Mendeleev],Japan - administered by Russia,43.979,145.733,882,Stratovolcano,1783,1880,1,1880,1
Reclus,Chile,-50.964,-73.585,1000,Pyroclastic cone,1,1879,2,1908,1
Redoubt,United States,60.485,-152.742,3108,Stratovolcano,0,2009,3,2009,3
Reventador,Ecuador,-0.077,-77.656,3562,Stratovolcano,963,2002,4,2008,2
Reykjanes,Iceland,63.85,-22.566,140,Crater rows,13995,1226,4,1926,0
Rincon de la Vieja,Costa Rica,10.83,-85.324,1916,Complex,1428,-1820,4,2015,1
Rinjani,Indonesia,-8.42,116.47,3726,Stratovolcano,55594,1257,7,2016,2
Ritter Island,Papua New Guinea,-5.519,148.115,75,Stratovolcano,43,1700,3,2007,1
Rocard,France,-17.662,-148.586,-2515,Submarine,0,1972,0,1972,0
Romeral,Colombia,5.203,-75.363,3769,Stratovolcano,2822,-5390,4,-5390,4
Roundtop,United States,54.8,-163.589,1871,Stratovolcano,0,-7600,5,-7600,5
Ruang,Indonesia,2.3,125.37,725,Stratovolcano,1652,2002,4,2002,4
Ruapehu,New Zealand,-39.28,175.57,2797,Stratovolcano,298,-7840,4,2007,1
Ruby,United States,15.62,145.57,-230,Submarine,0,1995,0,1995,0
Ruiz,Colombia,4.892,-75.324,5279,Stratovolcano,20146,1595,4,2014,2
Rumble III,New Zealand,-35.745,178.478,-220,Submarine,0,2008,0,2008,0
Rungwe,Tanzania,-9.135,33.668,2953,Stratovolcano,20713,-2050,5,-50,4
Sabancaya,Peru,-15.787,-71.857,5960,Stratovolcano(es),526,2016,3,2016,3
Salak,Indonesia,-6.72,106.73,2211,Stratovolcano,80578,1938,2,1938,2
San Cristobal,Nicaragua,12.702,-87.004,1745,Stratovolcano,7876,1528,3,2016,2
San Francisco Volcanic Field,United States,35.347,-111.678,3850,Pyroclastic cone,23157,1075,4,1075,4
San Jorge,Portugal,38.65,-28.08,1053,Fissure vent,4689,1580,3,1907,0
San Jose,Chile-Argentina,-33.789,-69.895,6070,Stratovolcano(es),616,1960,2,1960,2
San Martin,Mexico,18.57,-95.2,1650,Shield,3581,1793,4,1794,2
San Miguel,El Salvador,13.434,-88.269,2130,Stratovolcano,63007,2013,2,2016,1
San Pedro-San Pablo,Chile,-21.888,-68.391,6142,Stratovolcano(es),156,1960,2,1960,2
San Salvador,El Salvador,13.734,-89.294,1893,Stratovolcano,800780,1200,4,1917,3
Sanbesan,Japan,35.139,132.621,1126,Stratovolcano,6795,-1920,4,-1920,4
Sand Mountain Field,United States,44.38,-121.93,1664,Pyroclastic cone(s),89,-950,4,-950,4
Sangay,Ecuador,-2.005,-78.341,5286,Stratovolcano,1675,1934,3,1934,3
Sangeang Api,Indonesia,-8.2,119.07,1949,Complex,1155,2014,3,2014,3
Santa Ana,El Salvador,13.853,-89.63,2381,Stratovolcano,21653,2005,3,2005,3
Santa Maria,Guatemala,14.757,-91.552,3745,Stratovolcano,119462,1902,6,1922,3
Santiago,Ecuador,-0.22,-90.77,920,Shield,74,1904,0,1904,0
Santiago,Guatemala,14.33,-89.87,1192,Volcanic field,226325,1904,0,1904,0
Santorini,Greece,36.404,25.396,367,Shield(s),12266,-1610,7,1950,2
Sarychev Peak,Russia,48.092,153.2,1496,Stratovolcano,143,2009,4,2009,4
Sashiusudake [Baransky],Japan - administered by Russia,45.1,148.019,1125,Stratovolcano,0,1951,1,1951,1
Saunders,United Kingdom,-57.8,-26.483,843,Stratovolcano,0,1819,2,2015,0
Savai'i,Samoa,-13.612,-172.525,1858,Shield,59,1905,2,1905,2
Savo,Solomon Islands,-9.13,159.82,485,Stratovolcano,3200,1835,3,1835,3
Sawad,Yemen,13.58,46.12,1737,Volcanic field,74598,1253,3,1253,3
Seguam,United States,52.315,-172.51,1054,Stratovolcano(es),0,-7300,5,1993,2
Semeru,Indonesia,-8.108,112.922,3657,Stratovolcano,8375,1967,3,1967,3
Semisopochnoi,United States,51.93,179.58,1221,Stratovolcano,0,1987,2,1987,2
Serua,Indonesia,-6.312,130.017,608,Stratovolcano,58,1693,4,1921,2
Sete Cidades,Portugal,37.87,-25.78,856,Stratovolcano,10365,1444,4,1880,0
Seulawah Agam,Indonesia,5.448,95.658,1810,Stratovolcano,10555,1839,2,1839,2
Shasta,United States,41.409,-122.193,4317,Stratovolcano,35,-7650,4,1786,3
Sheveluch,Russia,56.653,161.36,3283,Stratovolcano,0,1854,5,1999,2
Shikotsu,Japan,42.688,141.38,1320,Caldera,130474,1739,5,1981,0
Shiretoko-Iozan,Japan,44.133,145.161,1562,Stratovolcano,1516,1889,2,1935,1
Shishaldin,United States,54.756,-163.97,2857,Stratovolcano,0,1999,3,2014,1
Sinabung,Indonesia,3.17,98.392,2460,Stratovolcano,13801,2013,2,2013,2
Sinarka,Russia,48.873,154.182,911,Stratovolcano,3,1872,4,1872,4
Sirung,Indonesia,-8.508,124.13,862,Complex,19334,2012,2,2015,1
Slamet,Indonesia,-7.242,109.208,3428,Stratovolcano,13401,2014,2,2014,2
Snaefellsjokull,Iceland,64.8,-23.783,1446,Stratovolcano,129,-1000,2,-1000,2
Soche,Ecuador,0.552,-77.58,3955,Stratovolcano,1460,-6650,5,-6650,5
Socorro,Mexico,18.78,-110.95,1050,Shield,0,1951,2,1993,0
Sollipulli,Chile,-38.97,-71.52,2282,Caldera,2971,-920,5,-920,5
Soputan,Indonesia,1.112,124.737,1785,Stratovolcano,69991,2016,3,2016,3
Sorikmarapi,Indonesia,0.686,99.539,2145,Stratovolcano,1469,1970,2,1986,1
Soufriere Guadeloupe,France,16.044,-61.664,1467,Stratovolcano,71345,1440,4,1976,2
Soufriere Hills,United Kingdom,16.72,-62.18,915,Stratovolcano,9401,2005,3,2005,3
Soufrière St. Vincent,Saint Vincent and the Grenadines,13.33,-61.18,1220,Stratovolcano,15327,1902,4,1979,3
South Island,Kenya,2.63,36.6,800,Stratovolcano,0,1888,1,1888,1
South Sarigan Seamount,United States,16.58,145.78,-184,Submarine,0,2010,3,2010,3
Southern EPR at 8°S,Undersea Features,-8.27,-107.95,-2800,Submarine,0,1964,0,1964,0
Southern EPR-Segment I,Undersea Features,-18.53,-113.42,-2600,Submarine,0,1915,0,1915,0
Southern EPR-Segment J,Undersea Features,-18.175,-113.35,-2650,Submarine,0,1890,0,1890,0
Southern EPR-Segment K,Undersea Features,-17.436,-113.206,-2566,Submarine,0,1990,0,1990,0
Southern Thule,United Kingdom,-59.442,-27.225,1075,Stratovolcano(es),0,1975,1,1975,1
Spurr,United States,61.299,-152.251,3374,Stratovolcano,0,1992,4,1992,4
St. Andrew Strait,Papua New Guinea,-2.38,147.35,270,Complex,678,1953,2,1953,2
St. Helens,United States,46.2,-122.18,2549,Stratovolcano,427,-1860,6,2004,2
St. Paul,France,-38.72,77.53,268,Stratovolcano,0,1793,2,1793,2
Stromboli,Italy,38.789,15.213,924,Stratovolcano,2225,1910,3,1934,2
Submarine Volcano NNE of Iriomotejima,Japan,24.57,123.93,-200,Submarine,0,1924,4,1924,4
Sumaco,Ecuador,-0.538,-77.626,3990,Stratovolcano,324,1895,2,1895,2
Sumbing,Indonesia,-2.414,101.728,2507,Stratovolcano,304,1921,2,1921,2
Sumbing,Indonesia,-7.384,110.07,3371,Stratovolcano,310361,1921,2,1921,2
Sumisujima,Japan,31.44,140.051,136,Submarine,0,1870,2,1916,0
Sundoro,Indonesia,-7.3,109.992,3136,Stratovolcano,496751,1971,2,1971,2
Suoh,Indonesia,-5.25,104.27,1000,Caldera(s),2048,1933,4,1933,4
Supply Reef,United States,20.13,145.1,-8,Submarine,0,1989,0,1989,0
Suretamatai,Vanuatu,-13.8,167.47,921,Complex,3509,1965,2,1965,2
Suwanosejima,Japan,29.638,129.714,796,Stratovolcano(es),107,1889,4,2004,2
Taal,Philippines,14.002,120.993,311,Caldera,717090,-3580,6,1977,2
Tacana,Mexico-Guatemala,15.132,-92.109,4064,Stratovolcano,20932,70,4,1986,1
Tafu-Maka,Tonga,-15.37,-174.23,-1400,Submarine,0,2008,0,2008,0
Tair,Yemen,15.55,41.83,244,Stratovolcano,0,2007,3,2007,3
Takaharayama,Japan,36.9,139.777,1795,Stratovolcano,4572,-4570,4,-4570,4
Talang,Indonesia,-0.979,100.681,2575,Stratovolcano,18512,2007,2,2007,2
Tambora,Indonesia,-8.25,118.0,2850,Stratovolcano,11331,1812,7,1967,0
Tanaga,United States,51.885,-178.146,1806,Stratovolcano(es),0,1914,0,1914,0
Tandikat-Singgalang,Indonesia,-0.39,100.331,2854,Stratovolcano(es),38799,1924,1,1924,1
Tangkoko-Duasudara,Indonesia,1.518,125.185,1334,Stratovolcano,57792,1680,5,1880,1
Tangkubanparahu,Indonesia,-6.77,107.6,2084,Stratovolcano,518822,2013,2,2013,1
Tao-Rusyr Caldera,Russia,49.35,154.7,1325,Stratovolcano,73,-5550,6,1952,3
Tara,Indonesia,-7.791,123.585,633,Stratovolcano,207,2007,2,2007,2
Taranaki [Egmont],New Zealand,-39.3,174.07,2518,Stratovolcano,230,-1700,5,1655,4
Tatun Group,Taiwan,25.17,121.52,1120,Lava dome(s),5084149,-4095,1,648,0
Taupo,New Zealand,-38.82,176.0,760,Caldera,21456,233,6,260,0
Taveuni,Fiji,-16.82,-179.97,1241,Shield,3220,1350,2,1550,0
Tavui,Papua New Guinea,-4.12,152.2,200,Caldera,30373,-4946,5,-4946,5
Teahitia,France,-17.564,-148.821,-1743,Submarine,0,1985,0,1985,0
Telica,Nicaragua,12.606,-86.84,1036,Stratovolcano(es),21990,1529,4,2015,2
Telong,Indonesia,4.769,96.821,2617,Stratovolcano,25733,1919,2,1919,2
Tenerife,Spain,28.271,-16.641,3715,Stratovolcano,156,-80,4,1909,2
Tengger Caldera,Indonesia,-7.942,112.95,2329,Stratovolcano(es),69451,-830,4,2015,2
Teon,Indonesia,-6.976,129.144,728,Stratovolcano,102,1660,4,1904,2
Terceira,Portugal,38.73,-27.32,1023,Stratovolcano(es),12299,1867,3,1998,0
Theistareykir,Iceland,65.833,-17.166,540,Shield,36,-900,0,-900,0
Three Sisters,United States,44.133,-121.767,3159,Complex,0,-350,4,440,2
Tinakula,Solomon Islands,-10.38,165.8,851,Stratovolcano,19,1965,3,2008,1
Tinguiririca,Chile,-34.814,-70.352,4280,Stratovolcano,47,1917,1,1917,1
Tofua,Tonga,-19.75,-175.07,515,Caldera,1556,1958,2,2004,1
Tokachidake,Japan,43.418,142.686,2077,Stratovolcano(es),227,1962,3,2004,1
Tolbachik,Russia,55.832,160.326,3611,Shield,0,2012,4,2012,4
Tolhuaca,Chile,-38.31,-71.645,2739,Stratovolcano,494,-4885,3,-4000,0
Tolima,Colombia,4.658,-75.33,5215,Stratovolcano,6563,-1990,5,1943,2
Tolmachev Dol,Russia,52.63,157.58,1021,Pyroclastic cone(s),2,-2650,4,-2650,4
Tomariyama [Golovnin],Japan - administered by Russia,43.844,145.504,535,Caldera,1796,1848,1,1848,1
Tongariro,New Zealand,-39.157,175.632,1978,Stratovolcano(es),286,-550,5,2012,2
Torfajokull,Iceland,63.892,-19.122,1280,Stratovolcano,0,870,3,1477,2
Toshima,Japan,34.52,139.279,508,Stratovolcano,331,-4550,0,-4550,0
Towada,Japan,40.51,140.88,1011,Caldera,12366,915,5,915,5
Toya,Japan,42.544,140.839,733,Stratovolcano,36191,1663,5,2000,2
Traitor's Head,Vanuatu,-18.754,169.238,817,Stratovolcano,380,1881,0,1881,0
Trident,United States,58.236,-155.1,1864,Stratovolcano,0,1974,3,1974,3
Tristan da Cunha,United Kingdom,-37.092,-12.28,2060,Shield,12,1961,2,1961,2
Tromen,Argentina,-37.144,-70.033,4114,Stratovolcano(es),196,1751,3,1751,3
Tungurahua,Ecuador,-1.467,-78.442,5023,Stratovolcano,20990,-1010,5,2015,3
Tupungatito,Chile-Argentina,-33.425,-69.797,5660,Stratovolcano,923,1987,2,1987,2
Turrialba,Costa Rica,10.025,-83.767,3340,Stratovolcano,6867,40,4,2015,2
Tutuila,United States,-14.295,-170.7,653,Tuff cone(s),49763,440,3,440,3
Tutupaca,Peru,-17.026,-70.372,5801,Stratovolcano(es),1125,1802,4,1802,4
Ubinas,Peru,-16.355,-70.903,5672,Stratovolcano,1195,1082,5,2016,2
Ugashik-Peulik,United States,57.751,-156.368,1474,Stratovolcano,0,1814,3,1814,3
Uinkaret Field,United States,36.38,-113.13,1555,Volcanic field,92,1100,1,1100,1
Ukinrek Maars,United States,57.832,-156.51,91,Maar(s),0,1977,3,1977,3
Ulawun,Papua New Guinea,-5.05,151.33,2334,Stratovolcano,1801,2000,4,2016,1
Ulreung,South Korea,37.5,130.87,984,Stratovolcano,9210,-8750,6,-8750,6
Unknown Source,Unknown,0.0,0.0,0,,0,1808,6,1808,6
Unzendake,Japan,32.761,130.299,1483,Complex,76424,1996,2,1996,2
Ushishur,Russia,47.52,152.8,401,Caldera,0,-7450,4,1884,1
Ushkovsky,Russia,56.113,160.509,3943,Compound,0,1890,2,1890,2
Uwayrid,Saudi Arabia,27.08,37.25,1920,Volcanic field,659,640,2,640,2
Vailulu'u,United States,-14.215,-169.058,-592,Submarine,0,2003,0,2003,0
Veer,Russia,53.75,158.45,520,Pyroclastic cone(s),1,390,2,390,2
Veniaminof,United States,56.17,-159.38,2507,Stratovolcano,0,-1750,6,2013,3
Vestmannaeyjar,Iceland,63.416,-20.266,283,Submarine,1685,-8050,4,1973,3
Vesuvius,Italy,40.821,14.426,1281,Stratovolcano,675705,1631,5,1913,3
Victory,Papua New Guinea,-9.2,149.07,1925,Stratovolcano,96,1890,2,1890,2
Viedma,Argentina,-49.358,-73.28,1500,Subglacial,0,1988,2,1988,2
Villarrica,Chile,-39.42,-71.93,2847,Stratovolcano,1067,-1810,5,2014,1
Vilyuchik,Russia,52.7,158.28,2173,Stratovolcano,1,-8050,2,-8050,2
Visoke,DR Congo-Rwanda,-1.458,29.485,3696,Stratovolcano,88356,1957,1,1957,1
Vsevidof,United States,53.13,-168.693,2149,Stratovolcano,0,1817,3,1878,2
Vulcano,Italy,38.404,14.962,500,Stratovolcano(es),23059,-183,4,1888,3
Vysoky,Russia,55.064,160.765,2129,Stratovolcano,0,-550,0,-550,0
Waiowa,Papua New Guinea,-9.57,149.075,640,Pyroclastic cone,338,1943,3,1943,3
Wapi Lava Field,United States,42.88,-113.22,1604,Shield,6,-300,2,-300,2
Watt,Dominica,15.307,-61.305,1224,Stratovolcano(es),35821,1880,2,1997,1
West Crater,United States,45.88,-122.08,1329,Volcanic field,505,-5750,2,-5750,2
West Mata,Tonga,-15.1,-173.75,-1174,Submarine,0,2008,0,2008,0
Westdahl,United States,54.518,-164.65,1654,Stratovolcano?,0,1795,4,1991,3
White Island,New Zealand,-37.52,177.18,321,Stratovolcano(es),5,2000,3,2016,1
Witori,Papua New Guinea,-5.576,150.516,724,Caldera,24509,710,6,2012,2
Wolf,Ecuador,0.02,-91.35,1710,Shield,165,2015,4,2015,4
Wrangell,United States,62.006,-144.017,4278,Shield,0,190,4,1999,1
Wudalianchi,China,48.72,126.12,597,Volcanic field,57885,1720,3,1776,2
Wurlali,Indonesia,-7.125,128.675,868,Stratovolcano,365,1892,2,1892,2
Yakedake,Japan,36.227,137.587,2455,Stratovolcano(es),2995,-350,4,1995,1
Yantarni,United States,57.019,-157.185,1345,Stratovolcano,0,-800,5,-800,5
Yar,Saudi Arabia,17.05,42.83,305,Volcanic field,292582,1810,2,1810,2
Yasur,Vanuatu,-19.532,169.447,361,Stratovolcano,6068,1774,3,1774,3
Yokoate-jima,Japan,28.797,128.997,495,Stratovolcano(es),64,1835,2,1835,2
Yonemaru-Sumiyoshiike,Japan,31.771,130.592,40,Maar(s),73354,-6200,3,-6200,3
Yucamane,Peru,-17.184,-70.196,5495,Stratovolcano(es),692,-1320,5,-1320,5
Yufu-Tsurumi,Japan,33.282,131.39,1584,Lava dome(s),139722,-200,4,867,3
Yunaska,United States,52.643,-170.629,550,Shield,0,1937,3,1937,3
Zaozan,Japan,38.144,140.44,1841,Complex,4681,300,4,1940,1
Zavaritsky,Russia,53.905,158.385,1567,Pyroclastic cone(s),0,-850,4,-800,2
Zavaritzki Caldera,Russia,46.925,151.95,624,Caldera,46,1957,3,1957,3
